"exclusion_reason","rdfs:label","schema:name","@id","schema:description","schema:image","https://jpsearch.go.jp/term/property#sourceInfo","https://jpsearch.go.jp/term/property#accessInfo","schema:inLanguage","rdf:type","schema:contributor","https://jpsearch.go.jp/term/property#agential","status","schema:category","https://jpsearch.go.jp/term/property#spatial","https://jpsearch.go.jp/term/property#temporal","schema:spatial","schema:temporal","schema:isPartOf","schema:creator","schema:publisher","schema:about","schema:datePublished","schema:dateCreated","schema:abstract","schema:identifier","schema:genre","schema:additionalType"
"Suffix NG: 帝王譜","帝王譜畧 乾","['テイオウ フ リャク', 'Teiou fu ryaku', '帝王譜畧 乾']","https://jpsearch.go.jp/data/adeac-R100000094_I000074387_00","['カテゴリ名: 古典籍', '言語（ISO639-2）: jpn', '著者: 伊藤長胤 : イトウチョウイン', '資料の分類: 阿波国文庫', 'ID: R100000094_I000074387_00', '資料種別: 和古書', '資料・資料群名: 徳島県立図書館 阿波国文庫', '大きさ、容量等: 1冊', '写']","https://adeac.jp/items/tokushima-bunkanomori/catalog/mp001340-200020/t.jpg","{'@id': 'https://jpsearch.go.jp/data/adeac-R100000094_I000074387_00#sourceinfo', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ADEAC', 'schema:url': 'https://adeac.jp/tokushima-bunkanomori/catalog/mp001340-200020', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/adeac-R100000094_I000074387_00.json', 'schema:dateModified': '2025-09-30T01:00:36', 'schema:contributor': 'https://jpsearch.go.jp/entity/chname/NDLサーチ', 'schema:relatedLink': 'https://jpsearch.go.jp/item/adeac-R100000094_I000074387_00', 'rdfs:seeAlso': 'https://ndlsearch.ndl.go.jp/books/R100000094-I233742', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報'}","{'@id': 'https://jpsearch.go.jp/data/adeac-R100000094_I000074387_00#accessinfo', 'schema:url': 'https://adeac.jp/tokushima-bunkanomori/viewer/mp001340-200020/awatosho1340', 'schema:license': 'https://jpsearch.go.jp/policy/available_rights_statements#others', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:description': ['原本の所在: 徳島県立図書館', '公開範囲: ウェブ公開']}","http://id.loc.gov/vocabulary/iso639-2/jpn","https://jpsearch.go.jp/term/type/古書・古文書","https://jpsearch.go.jp/entity/chname/伊藤東涯","{'@id': '_:vb150283699', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/chname/伊藤東涯', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作', 'schema:description': '著者: 伊藤長胤 : イトウチョウイン'}","success","","","","","","","","","","","","","","",""
"Suffix NG: 帝王譜","帝王譜畧 坤","['テイオウ フ リャク', 'Teiou fu ryaku', '帝王譜畧 坤']","https://jpsearch.go.jp/data/adeac-R100000094_I000074388_00","['大きさ、容量等: 1冊', '言語（ISO639-2）: jpn', 'カテゴリ名: 古典籍', '資料の分類: 阿波国文庫', 'ID: R100000094_I000074388_00', '写', '資料種別: 和古書', '資料・資料群名: 徳島県立図書館 阿波国文庫', '著者: 伊藤長胤 : イトウチョウイン']","https://adeac.jp/items/tokushima-bunkanomori/catalog/mp001350-200020/t.jpg","{'@id': 'https://jpsearch.go.jp/data/adeac-R100000094_I000074388_00#sourceinfo', 'schema:dateModified': '2025-09-30T01:00:36', 'rdfs:seeAlso': 'https://ndlsearch.ndl.go.jp/books/R100000094-I233743', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ADEAC', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/adeac-R100000094_I000074388_00.json', 'schema:relatedLink': 'https://jpsearch.go.jp/item/adeac-R100000094_I000074388_00', 'schema:url': 'https://adeac.jp/tokushima-bunkanomori/catalog/mp001350-200020', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:contributor': 'https://jpsearch.go.jp/entity/chname/NDLサーチ'}","{'@id': 'https://jpsearch.go.jp/data/adeac-R100000094_I000074388_00#accessinfo', 'schema:url': 'https://adeac.jp/tokushima-bunkanomori/viewer/mp001350-200020/awatosho1350', 'schema:description': ['公開範囲: ウェブ公開', '原本の所在: 徳島県立図書館'], 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:license': 'https://jpsearch.go.jp/policy/available_rights_statements#others'}","http://id.loc.gov/vocabulary/iso639-2/jpn","https://jpsearch.go.jp/term/type/古書・古文書","https://jpsearch.go.jp/entity/chname/伊藤東涯","{'@id': '_:vb150200488', 'schema:description': '著者: 伊藤長胤 : イトウチョウイン', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/chname/伊藤東涯'}","success","","","","","","","","","","","","","","",""
"Suffix NG: 蟲譜","蟲譜圖説","['Chuufu zusetsu', '蟲譜圖説', 'チュウフ ズセツ']","https://jpsearch.go.jp/data/adeac-R100000094_I583780","['古今の書籍に著されている虫類の図と説明を採録し編纂したものです。 安政丙辰（3年）3月千草堂の序文があります。著者は飯室庄左衛門ですが、書写した人物および年代は不明です。古今の書籍に著されている虫類の図と説明を採録し編纂したものです。 明治36年4月15日購入 [傷み少]', 'ID: R100000094_I583780', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '資料種別: 和古書', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', 'カテゴリ名: 古文書', '出版、掲載、放映を希望する場合は要連絡', '言語（ISO639-2）: jpn']","https://adeac.jp/items/akita-pref/catalog/01-ref-1-1345/t.jpg","{'@id': 'https://jpsearch.go.jp/data/adeac-R100000094_I583780#sourceinfo', 'schema:contributor': 'https://jpsearch.go.jp/entity/chname/NDLサーチ', 'schema:dateModified': '2025-09-30T01:00:36', 'schema:url': 'https://adeac.jp/akita-pref/catalog/01-ref-1-1345', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:relatedLink': 'https://jpsearch.go.jp/item/adeac-R100000094_I583780', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/adeac-R100000094_I583780.json', 'rdfs:seeAlso': 'https://ndlsearch.ndl.go.jp/books/R100000094-I583780', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ADEAC'}","{'@id': 'https://jpsearch.go.jp/data/adeac-R100000094_I583780#accessinfo', 'schema:license': 'http://creativecommons.org/licenses/by/4.0', 'schema:description': ['公開範囲: ウェブ公開', '原本の所在: 秋田県立図書館'], 'schema:url': 'https://adeac.jp/akita-pref/viewer/01-ref-1-1345/i01-ref-1-1345', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報'}","http://id.loc.gov/vocabulary/iso639-2/jpn","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 日譜","日譜","日譜","https://jpsearch.go.jp/data/aokenshida_doc-y1232","['伝来その他: 八木橋氏御遺族より寄贈', '種別２: 05_近現代', '文書群2: 旧八木橋文庫コピー本', '材質: 紙', '種別１: 01_古文書', '備考1: 自明治元年三月至明治四年七月。近代写か', '収集形態: コピー本', '文書群名1: 01_青森県史編さん収集文書', '員数: 1', '形状・形態: コピー本']","","{'@id': 'https://jpsearch.go.jp/data/aokenshida_doc-y1232#sourceinfo', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/aokenshida_doc-y1232.json', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/青森県史DA古文書・文献史料', 'schema:relatedLink': 'https://jpsearch.go.jp/item/aokenshida_doc-y1232', 'schema:dateModified': '2021-07-28T14:16:37'}","{'@id': 'https://jpsearch.go.jp/data/aokenshida_doc-y1232#accessinfo', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/青森県史デジタルアーカイブシステム', 'https://jpsearch.go.jp/term/property#contentHolder': 'https://jpsearch.go.jp/entity/chname/青森県', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'https://jpsearch.go.jp/term/property#contentId': '資料番号: y1232', 'schema:url': 'https://kenshi-archives.pref.aomori.lg.jp/il/meta_pub/G0000004doc_y1232', 'schema:license': 'http://rightsstatements.org/vocab/NoC-CR/1.0/'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","['https://jpsearch.go.jp/term/keyword/近現代', 'https://jpsearch.go.jp/term/keyword/青森県史編さん収集文書']","{'@id': '_:vb36925896', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/place/青森', 'schema:description': '地域名１: 01_津軽'}","{'@id': '_:vb36923511', 'schema:description': ['時代: 近代', '年代: 9999'], 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/time/_undefined'}","https://jpsearch.go.jp/entity/place/青森","https://jpsearch.go.jp/entity/time/_undefined","https://jpsearch.go.jp/entity/general/旧八木橋文庫コピー本","","","","","","","","",""
"Suffix NG: 艶譜","葵氏艶譜","['kishienpu', 'きしえんぷ', '葵氏艶譜']","https://jpsearch.go.jp/data/arc_books-BM_JH197","書誌備考: 【Reg No.】1979_0305_0.197","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Books/BM-JH197/BM-JH197-1/BM-JH197-1_01.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-BM_JH197#sourceinfo', 'schema:contributor': 'https://jpsearch.go.jp/entity/chname/立命館ARC', 'schema:url': 'https://www.dh-jac.net/db1/books/BM-JH197/portal/', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-BM_JH197', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-BM_JH197.json', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:dateModified': '2021-03-23 00:00:00'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-BM_JH197#accessinfo', 'schema:license': 'http://creativecommons.org/licenses/by-nc-sa/4.0/', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/イギリス', 'https://jpsearch.go.jp/term/property#contentRights': 'CC BY-NC-SA 4.0', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/英国博物館', 'schema:usageInfo': 'http://www.britishmuseum.org/about_this_site/terms_of_use/copyright_and_permissions.aspx', 'schema:url': 'https://www.dh-jac.net/db1/books/BM-JH197/portal/manifest.json', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: JH197', 'ARC管理No.: BM-JH197'], 'schema:relatedLink': 'https://www.britishmuseum.org/collection/search?keyword=葵氏艶譜'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 艶譜","葵氏艶譜","['葵氏艶譜', 'きしえんぷ', 'kishienpu']","https://jpsearch.go.jp/data/arc_books-BM_JIB0515A_","","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Books/BM-JIB0515A/BM-JIB0515A-1/BM-JIB0515A-1_001.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-BM_JIB0515A_#sourceinfo', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-BM_JIB0515A_.json', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:url': 'https://www.dh-jac.net/db1/books/BM-JIB0515A./portal/', 'schema:dateModified': '2021-09-07 00:00:00', 'schema:contributor': 'https://jpsearch.go.jp/entity/chname/立命館ARC', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-BM_JIB0515A_'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-BM_JIB0515A_#accessinfo', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/英国博物館', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'https://jpsearch.go.jp/term/property#contentRights': 'CC BY-NC-SA 4.0', 'schema:url': 'https://www.dh-jac.net/db1/books/BM-JIB0515A./portal/manifest.json', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: JIB.515A', 'ARC管理No.: BM-JIB0515A.'], 'schema:usageInfo': 'http://www.britishmuseum.org/about_this_site/terms_of_use/copyright_and_permissions.aspx', 'schema:relatedLink': 'https://www.britishmuseum.org/collection/search?keyword=葵氏艶譜', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/イギリス', 'schema:license': 'http://creativecommons.org/licenses/by-nc-sa/4.0/'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 氏譜","釈迦氏譜","['shakashihu', '釈迦氏譜', 'しゃかしふ']","https://jpsearch.go.jp/data/arc_books-Cam_FG_710_126","['巻冊: 2巻1冊', '判型(寸法): 大本']","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Cambridge/books/FG.710.126/FG.710.126_001.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-Cam_FG_710_126#sourceinfo', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-Cam_FG_710_126', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-Cam_FG_710_126.json', 'schema:url': 'https://www.dh-jac.net/db1/books/Cam-FG.710.126/portal/', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'schema:dateModified': '2020-09-06 00:00:00'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-Cam_FG_710_126#accessinfo', 'https://jpsearch.go.jp/term/property#contentRights': 'CC BY-NC 3.0', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ケンブリッジ大学図書館', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:relatedLink': 'https://cudl.lib.cam.ac.uk/view/PR-FG-00710-00126/', 'schema:usageInfo': 'https://www.lib.cam.ac.uk/collections/departments/digital-content-unit/imaging-services', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/イギリス', 'schema:license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: FG.710.126', 'ARC管理No.: Cam-FG.710.126'], 'schema:url': 'https://www.dh-jac.net/db1/books/Cam-FG.710.126/portal/manifest.json'}","","https://jpsearch.go.jp/term/type/古書・古文書","","[{'@id': '_:vb115596150', 'schema:description': '一般編著者等: 唐釈', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/ncname/唐釈', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作.編著'}, {'@id': '_:vb115596149', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/ncname/道宣', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作', 'schema:description': '一般編著者等: 道宣著'}]","success","","","","","","","['https://jpsearch.go.jp/entity/ncname/唐釈', 'https://jpsearch.go.jp/entity/ncname/道宣']","","","","","","","",""
"Suffix NG: 硯譜","和漢硯譜","['和漢硯譜', 'wakankenpu', 'わかんけんぷ']","https://jpsearch.go.jp/data/arc_books-Ld44327","['判型(寸法): 大本', '機関分類: Lc729.5-T', '書誌備考: 近代摺', '巻冊: 3']","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/ritslib/bunken/Ld44327/Ld44327_01.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-Ld44327#sourceinfo', 'schema:url': 'https://www.dh-jac.net/db1/books/Ld44327/portal/', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-Ld44327.json', 'schema:dateModified': '2021-03-23 00:00:00', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-Ld44327', 'schema:contributor': 'https://jpsearch.go.jp/entity/chname/立命館ARC'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-Ld44327#accessinfo', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/京都', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: Ld44327~44329', 'ARC管理No.: Ld44327'], 'schema:url': 'https://www.dh-jac.net/db1/books/Ld44327/portal/manifest.json', 'schema:usageInfo': 'http://www.ritsumei.ac.jp/library/', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/立命館大学文献資料室', 'https://jpsearch.go.jp/term/property#contentRights': 'Copyright © Ritsumeikan University. All Rights Reserved.', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:relatedLink': 'http://www.dh-jac.net/db/hangi/results.php?f2=T0333&f00==%8c%f6%8aJ&-format=results-1.htm&-max=10&enter=default'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","{'@id': '_:vb115605012', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作.成立1', 'schema:description': ['西暦(成立１): 1797', '和暦(成立１): 寛政０９', '内容(成立1): 刊'], 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/time/1797'}","","https://jpsearch.go.jp/entity/time/1797","","","","","","","","","",""
"Suffix NG: 封筒譜","封筒譜","封筒譜","https://jpsearch.go.jp/data/arc_books-NDL_1286716","巻冊: 絵封筒","https://www.dl.ndl.go.jp/api/iiif/1286716/R0000002/full/180,/0/default.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286716#sourceinfo', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-NDL_1286716', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'schema:url': 'https://www.dh-jac.net/db1/books/NDL-1286716/portal/', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-NDL_1286716.json', 'schema:dateModified': '2021-11-30 00:00:00'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286716#accessinfo', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/東京', 'schema:url': 'https://www.dl.ndl.go.jp/api/iiif/1286716/manifest.json', 'https://jpsearch.go.jp/term/property#contentRights': 'Copyright © 国会図書館, all rights reserved.', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/国立国会図書館', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: 1286716', 'ARC管理No.: NDL-1286716'], 'schema:license': 'http://creativecommons.org/publicdomain/mark/1.0/', 'schema:usageInfo': 'http://ndl.go.jp/jp/attention/', 'schema:relatedLink': 'http://dl.ndl.go.jp/info:ndljp/pid/1286716', 'rdfs:seeAlso': 'https://jpsearch.go.jp/data/dignl-1286716'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 封筒譜","封筒譜","封筒譜","https://jpsearch.go.jp/data/arc_books-NDL_1286717","巻冊: 北斎状袋","https://www.dl.ndl.go.jp/api/iiif/1286717/R0000002/full/180,/0/default.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286717#sourceinfo', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:url': 'https://www.dh-jac.net/db1/books/NDL-1286717/portal/', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-NDL_1286717.json', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'schema:dateModified': '2021-11-30 00:00:00', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-NDL_1286717'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286717#accessinfo', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'https://jpsearch.go.jp/term/property#contentId': ['ARC管理No.: NDL-1286717', '資料No.: 1286717'], 'schema:url': 'https://www.dl.ndl.go.jp/api/iiif/1286717/manifest.json', 'rdfs:seeAlso': 'https://jpsearch.go.jp/data/dignl-1286717', 'schema:usageInfo': 'http://ndl.go.jp/jp/attention/', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/国立国会図書館', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/東京', 'schema:license': 'http://creativecommons.org/publicdomain/mark/1.0/', 'schema:relatedLink': 'http://dl.ndl.go.jp/info:ndljp/pid/1286717', 'https://jpsearch.go.jp/term/property#contentRights': 'Copyright © 国会図書館, all rights reserved.'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 封筒譜","封筒譜","封筒譜","https://jpsearch.go.jp/data/arc_books-NDL_1286718","巻冊: 封筒譜　乾","https://www.dl.ndl.go.jp/api/iiif/1286718/R0000002/full/180,/0/default.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286718#sourceinfo', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-NDL_1286718', 'schema:url': 'https://www.dh-jac.net/db1/books/NDL-1286718/portal/', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル', 'schema:dateModified': '2021-11-30 00:00:00', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-NDL_1286718.json'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286718#accessinfo', 'rdfs:seeAlso': 'https://jpsearch.go.jp/data/dignl-1286718', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/国立国会図書館', 'https://jpsearch.go.jp/term/property#contentRights': 'Copyright © 国会図書館, all rights reserved.', 'schema:url': 'https://www.dl.ndl.go.jp/api/iiif/1286718/manifest.json', 'schema:license': 'http://creativecommons.org/publicdomain/mark/1.0/', 'schema:usageInfo': 'http://ndl.go.jp/jp/attention/', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: 1286718', 'ARC管理No.: NDL-1286718'], 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:relatedLink': 'http://dl.ndl.go.jp/info:ndljp/pid/1286718', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/東京'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 封筒譜","封筒譜","封筒譜","https://jpsearch.go.jp/data/arc_books-NDL_1286719","巻冊: 封筒譜　坤","https://www.dl.ndl.go.jp/api/iiif/1286719/R0000002/full/180,/0/default.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286719#sourceinfo', 'schema:url': 'https://www.dh-jac.net/db1/books/NDL-1286719/portal/', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-NDL_1286719.json', 'schema:dateModified': '2021-11-30 00:00:00', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-NDL_1286719', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286719#accessinfo', 'schema:relatedLink': 'http://dl.ndl.go.jp/info:ndljp/pid/1286719', 'rdfs:seeAlso': 'https://jpsearch.go.jp/data/dignl-1286719', 'https://jpsearch.go.jp/term/property#contentRights': 'Copyright © 国会図書館, all rights reserved.', 'schema:usageInfo': 'http://ndl.go.jp/jp/attention/', 'https://jpsearch.go.jp/term/property#contentId': ['ARC管理No.: NDL-1286719', '資料No.: 1286719'], 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/東京', 'schema:url': 'https://www.dl.ndl.go.jp/api/iiif/1286719/manifest.json', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/国立国会図書館', 'schema:license': 'http://creativecommons.org/publicdomain/mark/1.0/'}","","https://jpsearch.go.jp/term/type/古書・古文書","","","success","","","","","","","","","","","","","","",""
"Suffix NG: 介譜","介譜","介譜","https://jpsearch.go.jp/data/arc_books-NDL_1286742","['巻冊備考: 1帖', '一般編著者等: 毛利江元壽＜毛利梅園＞//〔画〕']","https://www.dl.ndl.go.jp/api/iiif/1286742/R0000002/full/180,/0/default.jpg","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286742#sourceinfo', 'https://jpsearch.go.jp/term/property#sourceData': 'https://jpsearch.go.jp/item/arc_books-NDL_1286742.json', 'schema:url': 'https://www.dh-jac.net/db1/books/NDL-1286742/portal/', 'rdf:type': 'https://jpsearch.go.jp/term/type/ソース情報', 'schema:dateModified': '2021-11-30 00:00:00', 'schema:relatedLink': 'https://jpsearch.go.jp/item/arc_books-NDL_1286742', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/ARC古典籍ポータル'}","{'@id': 'https://jpsearch.go.jp/data/arc_books-NDL_1286742#accessinfo', 'schema:relatedLink': 'http://dl.ndl.go.jp/info:ndljp/pid/1286742', 'https://jpsearch.go.jp/term/property#contentId': ['資料No.: 1286742', 'ARC管理No.: NDL-1286742'], 'schema:url': 'https://www.dl.ndl.go.jp/api/iiif/1286742/manifest.json', 'https://jpsearch.go.jp/term/property#contentRights': 'Copyright © 国会図書館, all rights reserved.', 'rdfs:seeAlso': 'https://jpsearch.go.jp/data/dignl-1286742', 'schema:usageInfo': 'http://ndl.go.jp/jp/attention/', 'schema:itemLocation': 'https://jpsearch.go.jp/entity/place/東京', 'rdf:type': 'https://jpsearch.go.jp/term/type/アクセス情報', 'schema:provider': 'https://jpsearch.go.jp/entity/chname/国立国会図書館', 'schema:license': 'http://creativecommons.org/publicdomain/mark/1.0/'}","","https://jpsearch.go.jp/term/type/古書・古文書","","{'@id': '_:vb115481154', 'https://jpsearch.go.jp/term/property#relationType': 'https://jpsearch.go.jp/term/role/制作.作画', 'schema:description': '一般編著者等: 毛利江元壽＜毛利梅園＞//〔画〕', 'https://jpsearch.go.jp/term/property#value': 'https://jpsearch.go.jp/entity/chname/毛利梅園'}","success","","","","","","","https://jpsearch.go.jp/entity/chname/毛利梅園","","","","","","","",""
